Price,Timestamp,Instance Type,OS,Region
0.5,1397777084,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397776779,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397775264,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397774954,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397772154,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397770939,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397767238,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397765128,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397753815,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397747802,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397740079,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397736309,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397730573,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397708430,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397706433,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397705866,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397705001,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397704417,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397701222,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397700299,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397691152,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397689649,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397687533,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397686305,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397684163,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397676819,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397670033,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397661237,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397659079,c3.2xlarge,Linux/UNIX,us-east-1b
2.0,1397596561,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397592222,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397590058,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397589749,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397589438,c3.2xlarge,Linux/UNIX,us-east-1b
0.6001,1397588177,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397587876,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397587553,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397587234,c3.2xlarge,Linux/UNIX,us-east-1b
0.6001,1397586284,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397585964,c3.2xlarge,Linux/UNIX,us-east-1b
0.6001,1397585646,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397585325,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397583426,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397583108,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397581517,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397579617,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397576802,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397576481,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397574538,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397574215,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397572646,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397572008,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397571697,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397571071,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397570744,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397569173,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397568854,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397567593,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397566953,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397565741,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397565102,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397563537,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397541846,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397539443,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397532773,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397528445,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397524903,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397520737,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397516944,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397516610,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397514719,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397513414,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397512447,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397511184,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397507404,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397502676,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397501094,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397500773,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397498540,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397498215,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397496938,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397496614,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397494001,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397484260,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397482038,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397478842,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397440939,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397440315,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397438707,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397437410,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397437087,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397431744,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397430511,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397429559,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397428931,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397420690,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397417507,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397415899,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397413950,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397412316,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397410733,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397406515,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397405232,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397391830,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397391515,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397390575,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397384451,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397383206,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397382905,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397381998,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397381385,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397380780,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397380161,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397378652,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397378326,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397377427,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397376813,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397374643,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397372457,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397371582,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397358056,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397357120,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397355903,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397353381,c3.2xlarge,Linux/UNIX,us-east-1b
0.21,1397353064,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397352094,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397350211,c3.2xlarge,Linux/UNIX,us-east-1b
0.25,1397349888,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397344712,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397343437,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397342514,c3.2xlarge,Linux/UNIX,us-east-1b
0.5,1397338474,c3.2xlarge,Linux/UNIX,us-east-1b
2.0,1397292584,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397287536,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397284657,c3.2xlarge,Linux/UNIX,us-east-1b
0.2651,1397267770,c3.2xlarge,Linux/UNIX,us-east-1b
0.4,1397264492,c3.2xlarge,Linux/UNIX,us-east-1b
