Price,Timestamp,Instance Type,OS,Region
0.0681,1397781399,c3.2xlarge,Linux/UNIX,us-east-1d
0.0684,1397781075,c3.2xlarge,Linux/UNIX,us-east-1d
0.0686,1397780772,c3.2xlarge,Linux/UNIX,us-east-1d
0.0687,1397780454,c3.2xlarge,Linux/UNIX,us-east-1d
0.0686,1397780147,c3.2xlarge,Linux/UNIX,us-east-1d
0.0685,1397779816,c3.2xlarge,Linux/UNIX,us-east-1d
0.0721,1397779515,c3.2xlarge,Linux/UNIX,us-east-1d
0.0728,1397779200,c3.2xlarge,Linux/UNIX,us-east-1d
0.0744,1397778905,c3.2xlarge,Linux/UNIX,us-east-1d
0.0737,1397778607,c3.2xlarge,Linux/UNIX,us-east-1d
0.0734,1397778003,c3.2xlarge,Linux/UNIX,us-east-1d
0.0737,1397777698,c3.2xlarge,Linux/UNIX,us-east-1d
0.0741,1397777395,c3.2xlarge,Linux/UNIX,us-east-1d
0.0755,1397777084,c3.2xlarge,Linux/UNIX,us-east-1d
0.12,1397776779,c3.2xlarge,Linux/UNIX,us-east-1d
0.074,1397776481,c3.2xlarge,Linux/UNIX,us-east-1d
0.0737,1397776178,c3.2xlarge,Linux/UNIX,us-east-1d
0.0723,1397775876,c3.2xlarge,Linux/UNIX,us-east-1d
0.0732,1397775561,c3.2xlarge,Linux/UNIX,us-east-1d
0.0734,1397775264,c3.2xlarge,Linux/UNIX,us-east-1d
0.12,1397774954,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397772484,c3.2xlarge,Linux/UNIX,us-east-1d
0.12,1397772154,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397759185,c3.2xlarge,Linux/UNIX,us-east-1d
0.0641,1397757352,c3.2xlarge,Linux/UNIX,us-east-1d
0.0642,1397756780,c3.2xlarge,Linux/UNIX,us-east-1d
0.0647,1397756493,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397755303,c3.2xlarge,Linux/UNIX,us-east-1d
0.0673,1397755014,c3.2xlarge,Linux/UNIX,us-east-1d
0.0674,1397754718,c3.2xlarge,Linux/UNIX,us-east-1d
0.0676,1397753815,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397753524,c3.2xlarge,Linux/UNIX,us-east-1d
0.0677,1397753226,c3.2xlarge,Linux/UNIX,us-east-1d
0.0676,1397752930,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397752631,c3.2xlarge,Linux/UNIX,us-east-1d
0.0674,1397752327,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397752019,c3.2xlarge,Linux/UNIX,us-east-1d
0.0676,1397751720,c3.2xlarge,Linux/UNIX,us-east-1d
0.0677,1397751417,c3.2xlarge,Linux/UNIX,us-east-1d
0.0675,1397750815,c3.2xlarge,Linux/UNIX,us-east-1d
0.0677,1397750517,c3.2xlarge,Linux/UNIX,us-east-1d
0.068,1397750228,c3.2xlarge,Linux/UNIX,us-east-1d
0.0678,1397749934,c3.2xlarge,Linux/UNIX,us-east-1d
0.0679,1397749642,c3.2xlarge,Linux/UNIX,us-east-1d
0.068,1397749347,c3.2xlarge,Linux/UNIX,us-east-1d
0.0681,1397749047,c3.2xlarge,Linux/UNIX,us-east-1d
0.0687,1397748736,c3.2xlarge,Linux/UNIX,us-east-1d
0.0684,1397748432,c3.2xlarge,Linux/UNIX,us-east-1d
0.0683,1397748118,c3.2xlarge,Linux/UNIX,us-east-1d
0.0691,1397747802,c3.2xlarge,Linux/UNIX,us-east-1d
0.0703,1397747501,c3.2xlarge,Linux/UNIX,us-east-1d
0.0707,1397747198,c3.2xlarge,Linux/UNIX,us-east-1d
0.071,1397746907,c3.2xlarge,Linux/UNIX,us-east-1d
0.0704,1397746624,c3.2xlarge,Linux/UNIX,us-east-1d
0.0715,1397746319,c3.2xlarge,Linux/UNIX,us-east-1d
0.0706,1397746021,c3.2xlarge,Linux/UNIX,us-east-1d
0.0698,1397745723,c3.2xlarge,Linux/UNIX,us-east-1d
0.0703,1397745424,c3.2xlarge,Linux/UNIX,us-east-1d
0.0705,1397745129,c3.2xlarge,Linux/UNIX,us-east-1d
0.0703,1397744544,c3.2xlarge,Linux/UNIX,us-east-1d
0.0701,1397744238,c3.2xlarge,Linux/UNIX,us-east-1d
0.07,1397743652,c3.2xlarge,Linux/UNIX,us-east-1d
0.0696,1397743343,c3.2xlarge,Linux/UNIX,us-east-1d
