aggregation_time,timestamp
41,2025-04-29 07:52:56.764
33,2025-04-29 07:52:57.731
32,2025-04-29 07:52:58.669
35,2025-04-29 07:52:59.567
32,2025-04-29 07:53:00.519
36,2025-04-29 07:53:01.470
32,2025-04-29 07:53:02.464
35,2025-04-29 07:53:03.449
32,2025-04-29 07:53:04.363
35,2025-04-29 07:53:05.355
32,2025-04-29 07:53:06.314
36,2025-04-29 07:53:07.266
32,2025-04-29 07:53:08.206
35,2025-04-29 07:53:09.136
33,2025-04-29 07:53:10.026
36,2025-04-29 07:53:11.044
33,2025-04-29 07:53:12.018
36,2025-04-29 07:53:12.968
32,2025-04-29 07:53:13.912
36,2025-04-29 07:53:14.890
32,2025-04-29 07:53:15.863
34,2025-04-29 07:53:16.865
33,2025-04-29 07:53:17.835
32,2025-04-29 07:53:18.805
36,2025-04-29 07:53:19.784
32,2025-04-29 07:53:20.805
35,2025-04-29 07:53:21.738
32,2025-04-29 07:53:22.712
37,2025-04-29 07:53:23.648
31,2025-04-29 07:53:24.617
35,2025-04-29 07:53:25.596
31,2025-04-29 07:53:26.537
36,2025-04-29 07:53:27.529
32,2025-04-29 07:53:28.486
34,2025-04-29 07:53:29.466
31,2025-04-29 07:53:30.388
34,2025-04-29 07:53:31.326
31,2025-04-29 07:53:32.307
37,2025-04-29 07:53:33.254
31,2025-04-29 07:53:34.220
36,2025-04-29 07:53:35.149
31,2025-04-29 07:53:36.076
36,2025-04-29 07:53:37.050
33,2025-04-29 07:53:38.000
34,2025-04-29 07:53:38.942
32,2025-04-29 07:53:39.919
35,2025-04-29 07:53:40.891
31,2025-04-29 07:53:41.875
38,2025-04-29 07:53:42.883
32,2025-04-29 07:53:43.906
36,2025-04-29 07:53:44.873
31,2025-04-29 07:53:45.872
36,2025-04-29 07:53:46.885
32,2025-04-29 07:53:47.873
35,2025-04-29 07:53:48.859
31,2025-04-29 07:53:49.826
34,2025-04-29 07:53:50.811
31,2025-04-29 07:53:51.750
37,2025-04-29 07:53:52.739
31,2025-04-29 07:53:53.684
36,2025-04-29 07:53:54.586
31,2025-04-29 07:53:55.529
36,2025-04-29 07:53:56.524
32,2025-04-29 07:53:57.522
34,2025-04-29 07:53:58.487
32,2025-04-29 07:53:59.496
35,2025-04-29 07:54:00.459
32,2025-04-29 07:54:01.426
38,2025-04-29 07:54:02.404
31,2025-04-29 07:54:03.341
36,2025-04-29 07:54:04.288
31,2025-04-29 07:54:05.263
36,2025-04-29 07:54:06.176
32,2025-04-29 07:54:07.170
35,2025-04-29 07:54:08.058
32,2025-04-29 07:54:09.013
36,2025-04-29 07:54:09.956
32,2025-04-29 07:54:10.924
38,2025-04-29 07:54:11.917
32,2025-04-29 07:54:12.854
37,2025-04-29 07:54:13.802
33,2025-04-29 07:54:14.742
37,2025-04-29 07:54:15.684
